No,PROYECTO,CATEGORIA DE DEPARTAMENTO,CATEGORIA DE MUNICIPIO,REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO,LOCALIDAD/TRONCAL,CANTIDAD,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA DE APROBACION,ESTADO DE LA ZONA,ZONA INAGURADA;
64,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05282,Fredonia,N/A,1,PARQUE PRINCIPAL,528206001,CRA. 51 #49-2 (PARQUE PRINCIPAL FREDONIA),-75.671766,5.926938,11/05/2017,OPERATIVA,SI;
65,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05284,Frontino,N/A,1,PARQUE PRINCIPAL,528406001,CALLE 30 # 30-02,-76.128512,6.780001,25/05/2017,OPERATIVA,SI;
66,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05306,Giraldo,N/A,1,PARQUE PRINCIPAL,530606001,CALLE 10 CR 11,-75.953111,6.680533,24/05/2017,OPERATIVA,SI;
67,ZONAS WIFI GRATIS PARA LA GENTE,ESP,3,Region Eje Cafetero - Antioquia,5,Antioquia,05308,Girardota,N/A,1,PARQUE PRINCIPAL,530806001,CARRERA 16 CON CALLE 7,-75.446044,6.377425,09/05/2017,OPERATIVA,SI;
68,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05310,Gómez Plata,N/A,1,PARQUE PRINCIPAL,531006001,CARRERA 51 CON CALLE 50,-75.21933,6.681555,24/05/2017,OPERATIVA,SI;
69,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05313,Granada,N/A,1,PARQUE PRINCIPAL,531306001,CRA. 20 #24-97,-75.184386,6.144263,25/05/2017,OPERATIVA,SI;
70,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05315,Guadalupe,N/A,1,PARQUE PRINCIPAL,531506001,CRA. 49 #50 (PARQUE PRINCIPAL GUADALUPE),-75.240312,6.815089,25/05/2017,OPERATIVA,SI;
71,ZONAS WIFI GRATIS PARA LA GENTE,ESP,4,Region Eje Cafetero - Antioquia,5,Antioquia,05318,Guarne,N/A,1,PARQUE PRINCIPAL,531806001,CARRERA 50 CON CALLE 50,-75.442731,6.279926,14/07/2017,OPERATIVA,SI;
72,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05321,Guatapé,N/A,1,PARQUE PRINCIPAL,532106001,CRA. 30 #30-25,-75.16151,6.234172,11/05/2017,OPERATIVA,SI;
73,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05347,Heliconia,N/A,1,PARQUE PRINCIPAL,534706001,PARQUE PRINCIPAL HELICONIA,-75.733275,6.207001,01/05/2017,OPERATIVA,SI;
74,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05353,Hispania,N/A,1,PARQUE PRINCIPAL,535306001,CALLE 48 CON CARRERA 50,-75.907434,5.799584,04/05/2017,OPERATIVA,SI;
75,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05360,Itagui,N/A,1,PARQUE OBRERO - BRAZIL,536006001,CALLE 48 CON CARRERA 50,-75.611552,6.171477,02/06/2017,OPERATIVA,SI;
76,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05361,Ituango,N/A,1,PARQUE PRINCIPAL,536106001,CRA. 20 #20-32 (PARQUE PRINCIPAL),-75.763711,7.172222,25/05/2017,OPERATIVA,SI;
77,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05364,Jardín,N/A,1,PARQUE PRINCIPAL,536406001,CL. 9 CR 5,-75.819275,5.598808,24/05/2017,OPERATIVA,SI;
78,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05368,Jericó,N/A,1,PARQUE PRINCIPAL,536806001,CALLE 6 #4-2 (PARQUE PRINCIPAL JERICÓ),-75.78605,5.791505,24/05/2017,OPERATIVA,SI;
79,ZONAS WIFI GRATIS PARA LA GENTE,ESP,5,Region Eje Cafetero - Antioquia,5,Antioquia,05376,La Ceja,N/A,1,PARQUE PRINCIPAL,537606001,CRA. 20#19-31 (PARQUE PRINCIPAL),-75.431625,6.03071,24/05/2017,OPERATIVA,SI;
80,ZONAS WIFI GRATIS PARA LA GENTE,ESP,3,Region Eje Cafetero - Antioquia,5,Antioquia,05380,La Estrella,N/A,1,PARQUE PRINCIPAL,538006001,CRA. 60 #80 SUR-1 (PARQUE PRINCIPAL),-75.643419,6.15765,04/05/2017,OPERATIVA,SI;
81,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05390,La Pintada,N/A,1,PARQUE PRINCIPAL,539006001,CALLE 35 CON CARRERA 32,-75.605902,5.747275,04/05/2017,OPERATIVA,SI;
82,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05400,La Unión,N/A,1,PARQUE PRINCIPAL,540006001,CL. 11 #9-11 (PARQUE PRINCIPAL),-75.361544,5.973277,02/05/2017,OPERATIVA,SI;
83,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05411,Liborina,N/A,1,PARQUE PRINCIPAL,541106001,PARQUE PRINCIPAL LIBORINA,-75.811238,6.678172,26/04/2017,OPERATIVA,SI;
84,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05425,Maceo,N/A,1,PARQUE PRINCIPAL,542506001,PARQUE PRINCIPAL MACEO,-74.787753,6.553524,25/05/2017,OPERATIVA,SI;
85,ZONAS WIFI GRATIS PARA LA GENTE,ESP,5,Region Eje Cafetero - Antioquia,5,Antioquia,05440,Marinilla,N/A,1,PARQUE PRINCIPAL,544006001,CALLE 31 CON CARRERA 30 (PARQUE PRINCIPAL),-75.334697,6.173663,01/06/2017,OPERATIVA,SI;
